Date,Rank,Song,Artist,Song_Key,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-16,21,Tere Liye,Atif Aslam,atif aslam || tere liye,Hindi Film,1,11-25,False,1,2,2,1,21.0,0.0,0.0,0.0,False,2026-03-17,20.0,11-25,11-25,0,0
2026-03-16,22,Pavazha Malli,Sai Abhyankkar,sai abhyankkar || pavazha malli,South Indian Film,1,11-25,False,1,2,2,3,26.0,-4.0,0.0,-4.0,False,2026-03-17,22.0,11-25,11-25,0,0
2026-03-16,23,Dhurandhar - Title Track,Shashwat Sachdev,shashwat sachdev || dhurandhar - title track,Hindi Film,1,11-25,False,1,2,2,2,22.0,1.0,0.0,1.0,False,2026-03-17,23.0,11-25,11-25,0,0
2026-03-16,24,Deewaana Deewaana,A.R. Rahman,a.r. rahman || deewaana deewaana,Hindi Film,1,11-25,False,1,2,2,1,25.0,-1.0,0.0,-1.0,False,2026-03-17,24.0,11-25,11-25,0,0
2026-03-16,25,Jo Tum Mere Ho,Anuv Jain,anuv jain || jo tum mere ho,Hindi Indie,1,11-25,False,1,2,2,22,23.0,2.0,0.0,2.0,False,2026-03-17,25.0,11-25,11-25,0,0
2026-03-16,26,Tere Bina,A.R. Rahman,a.r. rahman || tere bina,Hindi Film,1,26-50,False,1,2,2,22,24.0,2.0,0.0,2.0,False,2026-03-17,26.0,26-50,26-50,0,0
2026-03-16,27,Agar Tum Saath Ho,Alka Yagnik,alka yagnik || agar tum saath ho,Hindi Film,1,26-50,False,1,2,2,1,28.0,-1.0,0.0,-1.0,False,2026-03-17,27.0,26-50,26-50,0,0
2026-03-16,28,Aaya Sher,Anirudh Ravichander,anirudh ravichander || aaya sher,South Indian Film,1,26-50,False,1,2,2,1,27.0,1.0,0.0,1.0,False,2026-03-17,29.0,26-50,26-50,0,0
2026-03-16,29,Haseen,Talwiinder,talwiinder || haseen,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,29.0,0.0,0.0,0.0,False,2026-03-17,30.0,26-50,26-50,0,0
2026-03-16,30,Tum Ho Toh,Vishal Mishra,vishal mishra || tum ho toh,Hindi Film,1,26-50,False,1,2,2,1,30.0,0.0,0.0,0.0,False,2026-03-17,28.0,26-50,26-50,0,0
2026-03-16,31,Darkhaast,Mithoon,mithoon || darkhaast,Hindi Film,1,26-50,False,1,2,2,1,34.0,-3.0,0.0,-3.0,False,2026-03-17,31.0,26-50,26-50,0,0
2026-03-16,32,Not Guilty,Dhanda Nyoliwala,dhanda nyoliwala || not guilty,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,32.0,0.0,0.0,0.0,False,2026-03-17,32.0,26-50,26-50,0,0
2026-03-16,33,Ye Tune Kya Kiya,Pritam,pritam || ye tune kya kiya,Hindi Film,1,26-50,False,1,2,2,1,31.0,2.0,0.0,2.0,False,2026-03-17,33.0,26-50,26-50,0,0
2026-03-16,34,Naal Nachna,Shashwat Sachdev,shashwat sachdev || naal nachna,Hindi Film,1,26-50,False,1,2,2,154,42.0,-8.0,0.0,-8.0,False,2026-03-17,35.0,26-50,26-50,0,0
2026-03-16,35,Barbaad,The Rish,the rish || barbaad,Hindi Indie,1,26-50,False,1,2,2,1,40.0,-5.0,0.0,-5.0,False,2026-03-17,36.0,26-50,26-50,0,0
2026-03-16,36,Ehsaas,Faheem Abdullah,faheem abdullah || ehsaas,Hindi Indie,1,26-50,False,1,2,2,1,37.0,-1.0,0.0,-1.0,False,2026-03-17,38.0,26-50,26-50,0,0
2026-03-16,37,Zaalima,Arijit Singh,arijit singh || zaalima,Hindi Film,1,26-50,False,1,2,2,41,33.0,4.0,0.0,4.0,False,2026-03-17,39.0,26-50,26-50,0,0
2026-03-16,38,Mast Magan,Arijit Singh,arijit singh || mast magan,Hindi Film,1,26-50,False,1,2,2,7,38.0,0.0,0.0,0.0,False,2026-03-17,37.0,26-50,26-50,0,0
2026-03-16,39,Lutt Le Gaya,Shashwat Sachdev,shashwat sachdev || lutt le gaya,Hindi Film,1,26-50,False,1,2,2,121,39.0,0.0,0.0,0.0,False,2026-03-17,41.0,26-50,26-50,0,0
2026-03-16,40,Teri Deewani,Kailash Kher,kailash kher || teri deewani,Hindi Film,1,26-50,False,1,2,2,1,41.0,-1.0,0.0,-1.0,False,2026-03-17,40.0,26-50,26-50,0,0
2026-03-16,41,Humdard,Arijit Singh,arijit singh || humdard,Hindi Film,1,26-50,False,1,2,2,1,43.0,-2.0,0.0,-2.0,False,2026-03-17,46.0,26-50,26-50,0,0
2026-03-16,42,Thodi Si Daaru,AP Dhillon,ap dhillon || thodi si daaru,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,44.0,-2.0,0.0,-2.0,False,2026-03-17,42.0,26-50,26-50,0,0
2026-03-16,43,KALYANI,ARJN,arjn || kalyani,Hindi Indie,1,26-50,False,1,2,2,1,36.0,7.0,0.0,7.0,False,2026-03-17,44.0,26-50,26-50,0,0
2026-03-16,44,Ishq Jalakar - Karvaan,Shashwat Sachdev,shashwat sachdev || ishq jalakar - karvaan,Hindi Film,1,26-50,False,1,2,2,70,45.0,-1.0,0.0,-1.0,False,2026-03-17,45.0,26-50,26-50,0,0
2026-03-16,45,Mann Mera - Original Version,Gajendra Verma,gajendra verma || mann mera - original version,Hindi Indie,1,26-50,False,1,2,2,22,47.0,-2.0,0.0,-2.0,False,2026-03-17,50.0,26-50,26-50,0,0
2026-03-16,46,Kithe Reh Gaya,Neeti Mohan,neeti mohan || kithe reh gaya,Hindi Indie,1,26-50,False,1,2,2,1,46.0,0.0,0.0,0.0,False,2026-03-17,43.0,26-50,26-50,0,0
2026-03-16,47,Aakh Ye Taalibaani,Manish Sonipat Aala,manish sonipat aala || aakh ye taalibaani,Punjabi-Haryanvi Pop,1,26-50,True,1,1,1,0,,,0.0,0.0,True,2026-03-17,,,Exit,0,1
2026-03-16,48,Ucha Lamba Kad,Anand Raj Anand,anand raj anand || ucha lamba kad,Hindi Film,1,26-50,True,1,1,1,0,,,0.0,0.0,True,2026-03-17,,,Exit,0,1
2026-03-16,49,High On You,Jind Universe,jind universe || high on you,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,50.0,-1.0,0.0,-1.0,False,2026-03-17,49.0,26-50,26-50,0,0
2026-03-16,50,Tu Na Samjhe,Hellow Raja,hellow raja || tu na samjhe,Hindi Indie,1,26-50,False,1,2,2,1,35.0,15.0,0.0,15.0,False,2026-03-17,,,Exit,0,1
2026-03-17,1,Bairan,Banjaare,banjaare || bairan,Hindi Indie,2,Top10,False,1,3,3,2,1.0,0.0,0.0,0.0,False,2026-03-18,1.0,Top10,Top10,1,0
2026-03-17,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Mitta Ror,mitta ror || sheesha - aakhya mai aakh ghali jo bairan,Punjabi-Haryanvi Pop,2,Top10,False,1,3,3,3,2.0,0.0,0.0,0.0,False,2026-03-18,2.0,Top10,Top10,1,0
2026-03-17,3,Gehra Hua,Shashwat Sachdev,shashwat sachdev || gehra hua,Hindi Film,2,Top10,False,1,3,3,42,3.0,0.0,0.0,0.0,False,2026-03-18,3.0,Top10,Top10,1,0
2026-03-17,4,Dooron Dooron,Paresh Pahuja,paresh pahuja || dooron dooron,Hindi Indie,2,Top10,False,1,3,3,2,4.0,0.0,0.5,-0.5,False,2026-03-18,4.0,Top10,Top10,1,0
2026-03-17,5,Khat,Navjot Ahuja,navjot ahuja || khat,Hindi Indie,2,Top10,False,1,3,3,2,5.0,0.0,0.5,-0.5,False,2026-03-18,5.0,Top10,Top10,1,0
2026-03-17,6,Sahiba,Aditya Rikhari,aditya rikhari || sahiba,Hindi Indie,2,Top10,False,1,3,3,2,6.0,0.0,1.0,1.0,False,2026-03-18,6.0,Top10,Top10,1,0
2026-03-17,7,Samjhawan,Jawad Ahmad,jawad ahmad || samjhawan,Hindi Film,2,Top10,False,1,3,3,2,7.0,0.0,0.0,0.0,False,2026-03-18,8.0,Top10,Top10,1,0
2026-03-17,8,Sitaare,Arijit Singh,arijit singh || sitaare,Hindi Film,2,Top10,False,1,3,3,21,8.0,0.0,0.0,0.0,False,2026-03-18,7.0,Top10,Top10,1,0
2026-03-17,9,Finding Her,Kushagra,kushagra || finding her,Hindi Indie,2,Top10,False,1,3,3,2,10.0,-1.0,0.5,-0.5,False,2026-03-18,9.0,Top10,Top10,1,0
2026-03-17,10,Apna Bana Le,Sachin-Jigar,sachin-jigar || apna bana le,Hindi Film,2,Top10,False,1,3,3,2,9.0,1.0,1.5,-0.5,False,2026-03-18,10.0,Top10,Top10,1,0
2026-03-17,11,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,anuv jain || arz kiya hai | coke studio bharat,Hindi Indie,2,11-25,False,1,3,3,2,11.0,0.0,0.5,-0.5,False,2026-03-18,11.0,11-25,11-25,0,0
2026-03-17,12,Shararat,Shashwat Sachdev,shashwat sachdev || shararat,Hindi Film,2,11-25,False,1,3,3,202,12.0,0.0,1.5,1.5,False,2026-03-18,15.0,11-25,11-25,0,0
2026-03-17,13,Ishq,Faheem Abdullah,faheem abdullah || ishq,Hindi Indie,2,11-25,False,1,3,3,23,14.0,-1.0,0.5,-0.5,False,2026-03-18,16.0,11-25,11-25,0,0
