Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-11,38,Naal Nachna,Shashwat Sachdev,Hindi Film,1,26-50,False,1,2,2,331,39.0,-1.0,0.0,-1.0,False,2026-03-12,33.0,26-50,26-50,0,0
2026-03-11,39,Mast Magan,Arijit Singh,Hindi Film,1,26-50,False,1,2,2,15,38.0,1.0,0.0,1.0,False,2026-03-12,38.0,26-50,26-50,0,0
2026-03-11,40,Ishq Jalakar - Karvaan,Shashwat Sachdev,Hindi Film,1,26-50,False,1,2,2,152,40.0,0.0,0.0,0.0,False,2026-03-12,39.0,26-50,26-50,0,0
2026-03-11,41,KALYANI,ARJN,Hindi Indie,1,26-50,False,1,2,2,1,42.0,-1.0,0.0,-1.0,False,2026-03-12,42.0,26-50,26-50,0,0
2026-03-11,42,Humdard,Arijit Singh,Hindi Film,1,26-50,False,1,2,2,1,49.0,-7.0,0.0,-7.0,False,2026-03-12,40.0,26-50,26-50,0,0
2026-03-11,43,High On You,Jind Universe,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,46.0,-3.0,0.0,-3.0,False,2026-03-12,48.0,26-50,26-50,0,0
2026-03-11,44,Zaalima,Arijit Singh,Hindi Film,1,26-50,False,1,2,2,106,44.0,0.0,0.0,0.0,False,2026-03-12,49.0,26-50,26-50,0,0
2026-03-11,45,Dhun,Mithoon,Hindi Film,1,26-50,False,1,2,2,51,43.0,2.0,0.0,2.0,False,2026-03-12,47.0,26-50,26-50,0,0
2026-03-11,46,Jhol - Acoustic,Maanu,Hindi Indie,1,26-50,False,1,2,2,1,47.0,-1.0,0.0,-1.0,False,2026-03-12,50.0,26-50,26-50,0,0
2026-03-11,47,Aakh Ye Taalibaani,Manish Sonipat Aala,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,48.0,-1.0,0.0,-1.0,False,2026-03-12,44.0,26-50,26-50,0,0
2026-03-11,48,Kithe Reh Gaya,Neeti Mohan,Hindi Indie,1,26-50,False,1,2,2,1,45.0,3.0,0.0,3.0,False,2026-03-12,46.0,26-50,26-50,0,0
2026-03-11,49,Thodi Si Daaru,AP Dhillon,Punjabi-Haryanvi Pop,1,26-50,True,1,1,1,0,,,0.0,0.0,True,2026-03-12,43.0,26-50,26-50,0,0
